date_key,omni_consumption,ctrl_own_brand_discount_rate,ctrl_own_brand_npd,ctrl_competitor_asp,ctrl_competitor_npd,ctrl_competitor_total_sales,ctrl_macro_trscg_p,ctrl_top5_market_share,ec_jd_onsite_spend,ec_tmall_onsite_spend,ec_dy_spend,atl_tv_spend,atl_ooh_spend,atl_ott_spend,atl_otv_spend,atl_display_spend,atl_paid_social_spend,atl_sem_spend,tmkt_pg_spend,tmkt_sampling_spend
2021/1/1,85219970.58,0.165104841,,91584.07577,,2557911720,36257.9,0.583420215,633716.79,702355.15,,281340.0,,509512.7151,1512029.995,2369575.08,,168521.08,2259800.0,46102.35
2021/2/1,74106715.08,0.123355286,,95198.46478,1218268.592,2427120121,36257.9,0.591416656,576637.79,451559.37,,281340.0,,4179242.303,1776673.779,,,107773.76,2269450.0,1154875.48
2021/3/1,89374316.0,0.147004834,,97530.43932,10414113.02,2813361497,36257.9,0.56111266,614584.34,683512.16,,375120.0,,482207.2058,1833958.072,1060000.0,,180866.8,2282750.0,252443.39
2021/4/1,85810213.81,0.127295869,,97516.87626,11368969.95,2464476555,36257.9,0.565308663,553580.0,709290.04,,348325.7143,,674685.3043,1735450.879,701393.22,,150683.69,2329250.0,3876315.75
2021/5/1,80815374.89,0.159555027,,97234.99025,13136946.74,2483915675,36257.9,0.562587813,792172.31,697725.51,,396397.8151,,1686916.095,1806525.129,264185.6191,243168.2,169649.17,2376750.0,1144720.64
2021/6/1,94703075.25,0.167884572,,96766.12757,15919529.28,2693209882,36257.9,0.567836056,1334492.85,907021.5374,,36776.47059,,1490412.804,1151656.503,489550.3909,910860.5,116073.6,2400950.0,609407.5
2021/7/1,80948370.4,0.128699373,,97998.38658,15919529.28,2565248756,36257.9,0.560053751,689754.27,584138.21,,,,,,,,231126.12,2328850.0,806989.48
2021/8/1,84513111.99,0.153335882,,98687.59846,15919529.28,2711428176,36257.9,0.554780628,757825.66,866887.71,,,,,,,,240790.44,2317850.0,852140.42
2021/9/1,86961341.7,0.128224156,,100074.9924,15919529.28,2867517144,36257.9,0.546703922,805833.03,807823.43,,,182093.6842,712201.3442,192728.3755,1900517.028,731780.0,173298.1,2490362.0,623754.92
2021/10/1,88469382.89,0.129150989,,98363.07357,15919529.28,2703806447,36257.9,0.547328758,1148167.32,1124202.96,,,3033236.316,2690946.503,957341.4665,1376057.314,119787.0,140273.83,2345750.0,423490.94
2021/11/1,128765843.5,0.243770562,,98932.56381,15919529.28,3099849223,36257.9,0.546084787,2293006.5,918425.46,,,1779040.0,2038558.26,642887.2202,242587.3273,,166841.6586,3074238.0,446878.72
2021/12/1,81511149.21,0.140703835,,97909.10875,15919529.28,2416040682,36257.9,0.542572728,844445.04,1489186.29,,,,1363829.407,499102.6968,,,214417.0714,3194308.0,781165.27
2022/1/1,89134661.6,0.163345147,,95624.33614,17308552.06,2543367334,36257.9,0.563477402,392587.79,1454866.569,331779.5442,,,1707054.396,525304.5245,2577149.0,95700.0,106256.57,3276330.0,42515.95
2022/2/1,79878591.99,0.121490956,,101756.2414,16090283.47,2533233628,36257.9,0.556349614,455148.7,1010692.307,286954.2143,,795096.0,2114271.603,795761.6694,602000.0,156860.0,105088.3,2476400.0,581612.78
2022/3/1,86341863.07,0.150103756,,100898.371,11494168.63,2590124459,36257.9,0.5424203,492989.08,1703735.813,673010.0707,,,1455772.361,925358.3657,,138160.0,108197.39,2468550.0,501975.24
2022/4/1,79893520.25,0.129503939,,99472.87387,10539311.69,2420090565,36257.9,0.553624803,563097.25,2052768.621,466424.5497,,131000.0,1727290.838,999889.3795,94243.72227,162250.0,92998.7,2436250.0,244827.89
2022/5/1,86803615.85,0.147865396,,102032.7272,15171668.28,2672109558,36257.9,0.536412888,664480.98,1744250.862,693649.2037,,,1743132.414,1000875.644,217707.8247,194590.0,99666.59,2327950.0,144959.98
2022/6/1,101421958.0,0.160811586,,101800.9794,12389085.74,2736391819,36257.9,0.542652134,868740.04,2285992.617,981431.8501,,370008.0,1417362.301,1070488.288,231963.333,106700.0,101124.9,2381700.0,520363.5
2022/7/1,80507676.08,0.131264047,,100984.5919,12389085.74,2560782535,36257.9,0.533727936,538718.93,1544351.61,501257.2548,,,2255210.786,1703579.216,,56100.0,83860.37,2320450.0,152356.0
2022/8/1,85144649.89,0.119019178,,103262.8912,12389085.74,2755958778,36257.9,0.526574779,631074.28,1781985.585,954676.5531,,,2482460.244,1394820.412,,274120.0,95253.13,1671850.0,472622.3
