date,factors,total_contribution,spend,year,month,source,c0,c1,c2,c3,adstock_alpha,imme_contribution,carryover_contribution,saturation_lam,saturation_beta
2021-01-01,atl_display_spend,659699.5045389335,2369575.08,2021,1,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,393793.6228272408,265905.8817116927,2.25699469809323,0.02033059529680686
2021-02-01,atl_display_spend,282163.1347267742,0.0,2021,2,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,168431.2968068777,113731.8379198966,2.25699469809323,0.02033059529680686
2021-03-01,atl_display_spend,443788.2823408961,1060000.0,2021,3,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,264909.9995814625,178878.2827594336,2.25699469809323,0.02033059529680686
2021-04-01,atl_display_spend,399050.4603333248,701393.22,2021,4,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,238204.7059067694,160845.7544265554,2.25699469809323,0.02033059529680686
2021-05-01,atl_display_spend,253641.3066051198,264185.61905413,2021,5,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,151405.7966383849,102235.5099667348,2.25699469809323,0.02033059529680686
2021-06-01,atl_display_spend,267376.9016381244,489550.39094587,2021,6,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,159604.9686743184,107771.9329638061,2.25699469809323,0.02033059529680686
2021-07-01,atl_display_spend,114550.030945463,0.0,2021,7,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,68378.2106407876,46171.82030467539,2.25699469809323,0.02033059529680686
2021-08-01,atl_display_spend,55241.87341685084,0.0,2021,8,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,32975.46430596369,22266.40911088714,2.25699469809323,0.02033059529680686
2021-09-01,atl_display_spend,579839.8570223289,1900517.028261533,2021,9,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,346123.1005714306,233716.7564508983,2.25699469809323,0.02033059529680686
2021-10-01,atl_display_spend,617946.0432126562,1376057.314486071,2021,10,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,368869.779944043,249076.2632686132,2.25699469809323,0.02033059529680686
2021-11-01,atl_display_spend,344023.807693081,242587.327252397,2021,11,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,205357.7130772046,138666.0946158764,2.25699469809323,0.02033059529680686
2021-12-01,atl_display_spend,154218.3750317344,0.0,2021,12,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,92057.38702611478,62160.98800561957,2.25699469809323,0.02033059529680686
2022-01-01,atl_display_spend,752144.1481733893,2577149.0,2022,1,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,448976.4915080784,303167.6566653109,2.25699469809323,0.02033059529680686
2022-02-01,atl_display_spend,509236.6313446698,602000.0,2022,2,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,303978.00294501,205258.6283996598,2.25699469809323,0.02033059529680686
2022-03-01,atl_display_spend,226282.1575679144,0.0,2022,3,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,135074.3330815624,91207.82448635207,2.25699469809323,0.02033059529680686
2022-04-01,atl_display_spend,138973.1940679266,94243.72227272727,2022,4,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,82957.09969667289,56016.0943712537,2.25699469809323,0.02033059529680686
2022-05-01,atl_display_spend,138493.9867296298,217707.8246969697,2022,5,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,82671.0470431012,55822.9396865286,2.25699469809323,0.02033059529680686
2022-06-01,atl_display_spend,137951.9311161753,231963.333030303,2022,6,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,82347.47844508434,55604.45267109097,2.25699469809323,0.02033059529680686
2022-07-01,atl_display_spend,60464.76698579603,0.0,2022,7,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,36093.15981127333,24371.6071745227,2.25699469809323,0.02033059529680686
2022-08-01,atl_display_spend,30224.63831472579,0.0,2022,8,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,18041.95658585107,12182.68172887472,2.25699469809323,0.02033059529680686
2022-09-01,atl_display_spend,261994.5707741578,770464.7,2022,9,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,156392.1004584211,105602.4703157367,2.25699469809323,0.02033059529680686
2022-10-01,atl_display_spend,256376.2565041051,484875.4192857143,2022,10,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,153038.3669549644,103337.8895491407,2.25699469809323,0.02033059529680686
2022-11-01,atl_display_spend,318289.3105345772,682209.9307142857,2022,11,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,189996.0509902105,128293.2595443667,2.25699469809323,0.02033059529680686
2022-12-01,atl_display_spend,130789.7551176572,0.0,2022,12,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,78072.16943791154,52717.58567974571,2.25699469809323,0.02033059529680686
2023-01-01,atl_display_spend,59438.88590586141,0.0,2023,1,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,35480.78186604549,23958.10403981592,2.25699469809323,0.02033059529680686
2023-02-01,atl_display_spend,29789.82040097579,0.0,2023,2,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,17782.40125748158,12007.41914349421,2.25699469809323,0.02033059529680686
2023-03-01,atl_display_spend,16151.78699152778,0.0,2023,3,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,9641.466562829968,6510.320428697809,2.25699469809323,0.02033059529680686
2023-04-01,atl_display_spend,9252.662830528368,0.0,2023,4,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,5523.180769067383,3729.482061460985,2.25699469809323,0.02033059529680686
2023-05-01,atl_display_spend,82027.59135734363,234623.4113574919,2023,5,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,48964.63033571135,33062.96102163228,2.25699469809323,0.02033059529680686
2023-06-01,atl_display_spend,343810.7781897863,995837.9112473675,2023,6,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,205230.5496349187,138580.2285548676,2.25699469809323,0.02033059529680686
2023-07-01,atl_display_spend,144558.5173982098,28748.00645585037,2023,7,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,86291.13995858115,58267.37743962863,2.25699469809323,0.02033059529680686
2023-08-01,atl_display_spend,279312.6613736418,681120.3358092784,2023,8,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,166729.7672153297,112582.8941583121,2.25699469809323,0.02033059529680686
2023-09-01,atl_display_spend,454706.4578091697,1136852.459960451,2023,9,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,271427.3727835538,183279.0850256159,2.25699469809323,0.02033059529680686
2023-10-01,atl_display_spend,378584.1965542213,625945.0283194332,2023,10,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,225987.8039629913,152596.39259123,2.25699469809323,0.02033059529680686
2023-11-01,atl_display_spend,209988.2766908379,156082.1759108373,2023,11,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,125348.0465884659,84640.23010237202,2.25699469809323,0.02033059529680686
2023-12-01,atl_display_spend,94140.18297626082,0.0,2023,12,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,56194.98491779331,37945.19805846751,2.25699469809323,0.02033059529680686
2024-01-01,atl_display_spend,46787.69577033993,0.0,2024,1,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,27928.92232656446,18858.77344377547,2.25699469809323,0.02033059529680686
2024-02-01,atl_display_spend,25172.42315582621,0.0,2024,2,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,15026.14393624743,10146.27921957878,2.25699469809323,0.02033059529680686
2024-03-01,atl_display_spend,167206.4505353438,471841.1790140001,2024,3,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,99810.34313860231,67396.10739674153,2.25699469809323,0.02033059529680686
2024-04-01,atl_display_spend,66169.15213529996,0.0,2024,4,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,39498.27150010967,26670.88063519029,2.25699469809323,0.02033059529680686
2024-05-01,atl_display_spend,30161.0567764498,0.0,2024,5,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,18004.00293554459,12157.05384090522,2.25699469809323,0.02033059529680686
2024-06-01,atl_display_spend,179585.0980006195,509008.052776049,2024,6,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,107199.5141134374,72385.58388718215,2.25699469809323,0.02033059529680686
2024-07-01,atl_display_spend,137349.0286187049,207152.9872239511,2024,7,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,81987.58859060217,55361.4400281027,2.25699469809323,0.02033059529680686
2024-08-01,atl_display_spend,686553.8758710409,2310345.907750904,2024,8,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,409823.7700425392,276730.1058285016,2.25699469809323,0.02033059529680686
2024-09-01,atl_display_spend,707863.9206061353,1613785.592249096,2024,9,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,422544.3491260546,285319.5714800807,2.25699469809323,0.02033059529680686
2024-10-01,atl_display_spend,319914.08606276,0.0,2024,10,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,190965.9262699734,128948.1597927866,2.25699469809323,0.02033059529680686
2024-11-01,atl_display_spend,208280.3107249117,188022.42,2024,11,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,124328.5125418885,83951.79818302326,2.25699469809323,0.02033059529680686
2024-12-01,atl_display_spend,176534.6956695654,246024.7599999998,2024,12,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,105378.6411602797,71156.05450928572,2.25699469809323,0.02033059529680686
2025-01-01,atl_display_spend,389643.9115415746,1002652.255542071,2025,1,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,232589.6661780471,157054.2453635275,2.25699469809323,0.02033059529680686
2025-02-01,atl_display_spend,198888.5488510901,117247.7444579293,2025,2,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,118722.2995500994,80166.24930099068,2.25699469809323,0.02033059529680686
2025-03-01,atl_display_spend,742303.7424942319,2482722.47,2025,3,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,443102.4701152724,299201.2723789595,2.25699469809323,0.02033059529680686
2025-04-01,atl_display_spend,339936.324008678,17097.37,2025,4,Offline,Offline,ATL,ATL,ATL,0.4030712163374071,202917.7764132332,137018.5475954447,2.25699469809323,0.02033059529680686
2021-01-01,atl_dy_kol_feeds_spend,0.0,0.0,2021,1,Offline,Offline,ATL,ATL,ATL,0.462723441608113,0.0,0.0,1.942170039547241,0.008401290178453605
2021-02-01,atl_dy_kol_feeds_spend,0.0,0.0,2021,2,Offline,Offline,ATL,ATL,ATL,0.462723441608113,0.0,0.0,1.942170039547241,0.008401290178453605
2021-03-01,atl_dy_kol_feeds_spend,0.0,0.0,2021,3,Offline,Offline,ATL,ATL,ATL,0.462723441608113,0.0,0.0,1.942170039547241,0.008401290178453605
