id,dv_response,dv_balance,EM_MONTHS_LAST_OPEN,EM_COUNT_VALID,EM_ALL_OPT_OUT_FLAG,POS_NUM_ORDERS,POS_REVENUE_BASE,POS_MNTHS_LAST_ORDER,POS_REVENUE_TOTAL,POS_MARGIN_TOTAL,POS_TOT_REVPERSYS,POS_LAST_ORDER_DPA,POS_LAST_TOTAL_REVENUE,POS_NUM_ORDERS_24MO,POS_SP_QTY_24MO,POS_MARGIN_TOTAL_12MO,POS_REVENUE_TOTAL_6MO,WEB_MNTHS_SINCE_LAST_SES,IID_COUNT,HH_INCOME,HH_AGE,EM_NUM_OPEN_30,SH_MNTHS_LAST_INQUIRED,SH_INQUIRED_LAST3MO,SH_INQUIRED_LAST12MO,pos_mo_btwn_fst_lst_order,WEB_CNT_IID_ACCESSED,POS_REVENUE_BASE_SP_6MO
1,0,0.0,0.315412186,1.0,0.0,18,1658.202,12.32258065,2841.08,500.004,1420.54,0,35.98,2,6,,,8.85902031,5.0,99999.0,60.0,160.0,144.1612903,0.0,0.0,87.87096774,1.0,
2,0,0.0,2.169653524,1.0,0.0,1,431.99,8.870967741,488.97,-37.714,488.97,0,488.97,1,1,-37.714,,1.880525686,,,,,,,,0.0,,
3,0,0.0,0.166069295,1.0,0.0,20,1248.03,0.193548387,3847.14,888.203,1923.57,1,129.99,1,2,15.75,129.99,0.297491039,,,,,,,,102.1290323,,129.99
4,1,72.98,,1.0,0.0,12,2343.87,4.258064516,3313.69,441.154,1104.563333,1,44.99,7,16,45.08,164.97,0.07646356,10.0,124999.0,59.0,,47.16129032,0.0,0.0,39.22580645,2.0,164.97
5,0,0.0,3.149940262,1.0,0.0,1,371.39,3.806451612,421.39,-15.496,421.39,0,421.39,1,2,-15.496,421.39,3.697729988,,,,,,,,0.0,,372.39
6,1,200.99,1.874551971,9.0,0.0,42,8539.872,0.93548387,12417.915,141.976,1034.82625,0,129.0,9,16,158.419,357.99,0.923536439,10.0,,51.0,144.0,79.09677419,0.0,0.0,97.70967742,2.0,357.99
7,1,69.98,,1.0,0.0,28,1687.646,4.29032258,3967.891,1144.12,1983.9455,0,74.98,4,11,82.627,173.95,4.182795698,3.0,74999.0,79.0,,135.1612903,0.0,0.0,107.9354839,1.0,173.95
8,0,0.0,5.525089605,3.0,0.0,4,2076.55,23.09677419,2182.97,300.723,727.656667,0,440.99,1,42,,,,5.0,99999.0,61.0,42.0,104.8709677,0.0,0.0,47.61290323,0.0,
9,0,0.0,,1.0,0.0,1,0.0,22.77419355,299.99,0.46,,0,299.99,1,1,,,,,,,,,,,0.0,,
10,0,0.0,,2.0,0.0,7,188.0,2.870967741,570.89,208.314,,0,29.99,3,5,34.64,29.99,2.870967741,2.0,74999.0,66.0,23.0,27.22580645,0.0,0.0,30.87096774,1.0,29.99
11,0,0.0,0.293309438,3.0,0.0,4,2523.0,2.419354838,3073.27,915.97,3073.27,0,169.98,2,3,924.177,2961.98,2.684587813,,,,,,,,46.22580645,,2643.98
12,0,0.0,14.2921147,2.0,0.0,8,1390.876,5.29032258,3018.881,887.871,1006.293667,1,940.35,1,5,184.079,940.35,,1.0,74999.0,70.0,16.0,83.90322581,0.0,0.0,72.96774194,0.0,816.01
