dac_id,reg_channel,customer_lifecycle_finished_flag,baby_residual_lifecycle,baby_age_last_order,prestige,frisomum,gold,stage_f0,stage_f1,stage_f2,stage_f3,stage_f4,last_repurchase_interval
c6cd5bd2-d683-11e8-8187-022fee61b306,线下,Y,1290.0,5.0,0,0,1,0,1,0,0,0,7.0
0d9b237d-d684-11e8-8187-022fee61b306,线下,Y,1098.0,11.0,0,0,1,0,0,1,0,0,
e83b7bd3-d683-11e8-8187-022fee61b306,CRM系统,Y,1362.0,3.0,1,0,0,0,1,0,0,0,
844da82c-d684-11e8-8187-022fee61b306,线下,Y,1236.0,7.0,0,0,1,0,1,0,0,0,
14907c9f-d684-11e8-8187-022fee61b306,品牌微信,Y,1566.0,-16.0,0,0,1,0,1,0,0,0,0.0
80e9e0f6-d683-11e8-8187-022fee61b306,CRM系统,Y,1300.0,5.0,1,0,0,0,1,0,0,0,
38462b24-d684-11e8-8187-022fee61b306,线下,Y,1340.0,3.0,0,0,1,0,1,0,0,0,
da7dfc56-d683-11e8-8187-022fee61b306,线下,Y,1271.0,6.0,0,0,1,0,0,1,0,0,
565c321e-d684-11e8-8187-022fee61b306,线下,Y,1388.0,2.0,0,0,1,0,1,0,0,0,
413d32eb-d684-11e8-8187-022fee61b306,CRM系统,Y,1183.0,9.0,1,0,0,0,0,0,1,0,
4b068061-d684-11e8-8187-022fee61b306,品牌微信,Y,1191.0,8.0,0,0,1,0,0,1,0,0,0.0
73ed32e9-d684-11e8-8187-022fee61b306,品牌微信,Y,1109.0,11.0,1,0,0,0,0,0,1,0,0.0
9741d38d-d684-11e8-8187-022fee61b306,线下,Y,1199.0,8.0,0,0,1,0,0,1,0,0,
71aff8b5-d683-11e8-8187-022fee61b306,线下,Y,1211.0,35.0,0,0,1,0,0,1,0,0,840.0
cd6b3dc2-d683-11e8-8187-022fee61b306,品牌微信,Y,1154.0,10.0,1,0,0,0,1,0,0,0,0.0
99b3ae81-d683-11e8-8187-022fee61b306,线下,Y,1203.0,8.0,0,0,1,0,0,1,0,0,
2c10d983-d684-11e8-8187-022fee61b306,线下,Y,1327.0,4.0,0,0,1,0,0,1,0,0,
8eeb3efa-d683-11e8-8187-022fee61b306,天猫旗舰店,Y,1208.0,8.0,0,0,1,0,0,1,0,0,0.0
9421537d-d684-11e8-8187-022fee61b306,品牌微信,Y,1005.0,15.0,1,0,0,0,1,0,0,0,
e7aa00bf-d683-11e8-8187-022fee61b306,品牌微信,Y,1311.0,14.0,0,0,1,0,0,1,0,0,299.0
88e0cddc-d683-11e8-8187-022fee61b306,线下,Y,1576.0,-3.0,0,0,1,0,1,0,0,0,0.0
04941dd7-d684-11e8-8187-022fee61b306,CRM系统,Y,1162.0,9.0,1,0,0,0,0,1,0,0,
6d2b506b-d684-11e8-8187-022fee61b306,京东商城,Y,1205.0,8.0,0,0,1,0,0,1,0,0,2.0
ae69eced-d683-11e8-8187-022fee61b306,线下,Y,1119.0,25.0,0,0,1,0,0,1,0,0,443.0
adc36597-d683-11e8-8187-022fee61b306,线下,Y,1490.0,0.0,0,0,1,0,1,0,0,0,5.0
c3356481-d683-11e8-8187-022fee61b306,线下,Y,1485.0,0.0,0,0,1,0,1,0,0,0,
6d9d78c4-d683-11e8-8187-022fee61b306,线下,Y,1262.0,23.0,0,0,1,0,0,1,0,0,513.0
f74ff2ac-d683-11e8-8187-022fee61b306,线下,Y,1337.0,4.0,0,0,1,0,1,0,0,0,0.0
9682c9cc-d683-11e8-8187-022fee61b306,线下,Y,1403.0,1.0,0,0,1,0,1,0,0,0,
6b0cf12c-d684-11e8-8187-022fee61b306,线下,Y,1190.0,8.0,0,0,1,0,0,1,0,0,
90c91f12-d683-11e8-8187-022fee61b306,CRM系统,Y,1081.0,12.0,1,0,0,0,0,0,1,0,
b93bbd15-d683-11e8-8187-022fee61b306,CRM系统,Y,1289.0,6.0,1,0,0,0,1,0,0,0,12.0
01fd73c6-d684-11e8-8187-022fee61b306,线下,Y,1199.0,8.0,0,0,1,0,0,1,0,0,
0df8d91d-d684-11e8-8187-022fee61b306,品牌微信,Y,1474.0,0.0,0,0,1,0,1,0,0,0,
95c4c00d-d684-11e8-8187-022fee61b306,品牌微信,Y,2360.0,-19.0,0,0,1,0,0,0,1,0,299.0
dc46466a-d683-11e8-8187-022fee61b306,CRM系统,Y,1218.0,7.0,1,0,0,0,0,1,0,0,
5cec6de8-d684-11e8-8187-022fee61b306,线下,Y,1225.0,7.0,0,0,1,0,0,1,0,0,
8e359fa3-d683-11e8-8187-022fee61b306,线下,Y,1134.0,19.0,0,0,1,0,0,1,0,0,274.0
8ea5310a-d683-11e8-8187-022fee61b306,CRM系统,Y,1094.0,12.0,1,0,0,0,0,1,0,0,0.0
7291836b-d683-11e8-8187-022fee61b306,天猫旗舰店,Y,1194.0,8.0,0,0,1,0,0,1,0,0,
15379528-d684-11e8-8187-022fee61b306,CRM系统,Y,1128.0,12.0,1,0,0,0,1,0,0,0,53.0
ae314f75-d683-11e8-8187-022fee61b306,线下,Y,1431.0,4.0,0,0,1,0,1,0,0,0,118.0
7e1504b5-d683-11e8-8187-022fee61b306,线下,Y,1144.0,35.0,0,0,1,0,0,1,0,0,772.0
97e9ae74-d683-11e8-8187-022fee61b306,线下,Y,1283.0,5.0,0,0,1,0,1,0,0,0,
dcdd9452-d683-11e8-8187-022fee61b306,线下,Y,1304.0,5.0,0,0,1,0,0,1,0,0,
6a081b94-d683-11e8-8187-022fee61b306,线下,Y,1359.0,3.0,0,0,1,0,0,1,0,0,
5b4bf919-d684-11e8-8187-022fee61b306,线下,Y,1343.0,3.0,0,0,1,0,1,0,0,0,
930c8e9e-d684-11e8-8187-022fee61b306,美囤,Y,1169.0,9.0,0,0,1,0,0,1,0,0,5.0
1561ccb9-d684-11e8-8187-022fee61b306,线下,Y,1466.0,0.0,0,0,1,0,1,0,0,0,
3a090017-d684-11e8-8187-022fee61b306,品牌微信,Y,956.0,20.0,0,0,1,0,1,0,0,0,111.0
34dde2b1-d684-11e8-8187-022fee61b306,线下,Y,1286.0,13.0,0,0,1,0,0,1,0,0,226.0
ae975cf0-d684-11e8-8187-022fee61b306,线下,Y,1311.0,5.0,0,0,1,0,1,0,0,0,19.0
0d8e6f25-d684-11e8-8187-022fee61b306,线下,Y,1313.0,6.0,0,0,1,0,1,0,0,0,34.0
37f022e1-d684-11e8-8187-022fee61b306,线下,Y,1125.0,11.0,0,0,1,0,0,1,0,0,
9a7d7101-d683-11e8-8187-022fee61b306,线下,Y,1221.0,17.0,0,0,1,0,0,1,0,0,307.0
